# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\rinaldo\Documents\relatorio_sd\sistemas_digitais\SD PRJ6 - LETRA\VHDL\letras\letras.csv
# Generated on: Mon Sep 14 13:29:37 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
COL[2],Input,PIN_P25,6,B6_N0,PIN_P25,,,,
COL[1],Input,PIN_N26,5,B5_N1,PIN_N26,,,,
COL[0],Input,PIN_N25,5,B5_N1,PIN_N25,,,,
LEDG[7],Output,PIN_Y18,7,B7_N0,PIN_Y18,,,,
LEDG[6],Output,PIN_AA20,7,B7_N0,PIN_AA20,,,,
LEDG[5],Output,PIN_U17,7,B7_N0,PIN_U17,,,,
LEDG[4],Output,PIN_U18,7,B7_N0,PIN_U18,,,,
LEDG[3],Output,PIN_V18,7,B7_N0,PIN_V18,,,,
LEDG[2],Output,PIN_W19,7,B7_N0,PIN_W19,,,,
LEDG[1],Output,PIN_AF22,7,B7_N0,PIN_AF22,,,,
LEDG[0],Output,PIN_AE22,7,B7_N0,PIN_AE22,,,,
LEDR[7],Output,PIN_AC21,7,B7_N0,PIN_AC21,,,,
LEDR[6],Output,PIN_AD21,7,B7_N0,PIN_AD21,,,,
LEDR[5],Output,PIN_AD23,7,B7_N0,PIN_AD23,,,,
LEDR[4],Output,PIN_AD22,7,B7_N0,PIN_AD22,,,,
LEDR[3],Output,PIN_AC22,7,B7_N0,PIN_AC22,,,,
LEDR[2],Output,PIN_AB21,7,B7_N0,PIN_AB21,,,,
LEDR[1],Output,PIN_AF23,7,B7_N0,PIN_AF23,,,,
LEDR[0],Output,PIN_AE23,7,B7_N0,PIN_AE23,,,,
SEL[3],Input,PIN_W26,6,B6_N1,PIN_W26,,,,
SEL[2],Input,PIN_P23,6,B6_N0,PIN_P23,,,,
SEL[1],Input,PIN_N23,5,B5_N1,PIN_N23,,,,
SEL[0],Input,PIN_G26,5,B5_N0,PIN_G26,,,,
